"DigitizationNotes","recordingDate","recordingDigitalStatusValue","recordingDigitizer","recordingEventDescription","recordingEventRecordingNotes","recordingEventTitle","recordingFileSize","recordingLocation","recordingPermissions","recordingPFASeries","recordingTapeNumber","recordingTapeSide","FilmTitles","Speakers","lnfn"
"Tote 23-12","Tue Oct 16 00:00:00 PDT 1979","Analog tape","MediaPreserve","Arab Delegation",,,,"Wheeler Auditorium","Online plus in-house - Full access given",,316,,"[Unknown]",,
"Tote 23-12","Mon Oct 15 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,317,,"THE LAST SUPPER","Tomas Gutierrez Alea","Alea, Tomas Gutierrez"
"Tote 23-12","Tue Oct 16 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,318,,"PORTRAIT OF TERESA","Tomas Gutierrez Alea","Alea, Tomas Gutierrez"
"Tote 23-12","Wed Oct 17 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,319,,"DEATH OF A BUREAUCRAT|THE SURVIVORS","Tomas Gutierrez Alea","Alea, Tomas Gutierrez"
"Tote 23-12","Fri Oct 19 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"PFA",,,320,,"PERCEVAL","Barbet Schroeder","Schroeder, Barbet"
"Tote 23-12","Tue Oct 23 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"PFA",,,321,,"HORIZONS","Larry Gottheim","Gottheim, Larry"
"Tote 23-12","Wed Oct 24 00:00:00 PDT 1979","Analog tape","MediaPreserve","Someone named Holloway moderated Q&A. Both speakers chose not to use microphones. ",,,,"Wheeler Auditorium",,,322,,"BYE BYE BAVARIA|THE YOUNG MONK","Herbert Achternbusch","Achternbusch, Herbert"
"Tote 23-12","Fri Oct 26 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"PFA","unknown",,323,,"S.F. ZEPHYR","Bastian Cleve","Cleve, Bastian"
"Tote 23-12","Sat Oct 27 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"PFA","unknown",,324,,"DIARY OF A LOVER","Sohrab Shahid Saless","Saless, Sohrab Shahid"
"Tote 23-12","Sat Oct 27 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"PFA","unknown",,325,,"FIFTY-FIFTY","Uwe Brandner","Brandner, Uwe"
"Tote 23-12","Tue Oct 30 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,326,,"FROM HERE TO ETERNITY","Birgit Hein|Wilhelm Hein","Hein, Birgit|Hein, Wilhelm"
"Tote 23-12","Wed Oct 31 00:00:00 PST 1979","Analog tape","MediaPreserve",,,"NEW GERMAN EXPERIMENTAL",,"PFA",,,327,,,"Birgit Hein|Wilhelm Hein","Hein, Birgit|Hein, Wilhelm"
"Tote 23-12","Tue Nov 06 00:00:00 PST 1979","Analog tape","MediaPreserve","AND OTHER ANIMATION",,,,"PFA",,,328,,"LINEAGE","George Griffin","Griffin, George"
"Tote 23-12","Thu Nov 08 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,329,,"THE SILENT CRY","Stephen Dwoskin","Dwoskin, Stephen"
"Tote 23-12","Thu Nov 08 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,330,,"THE OPPRESSION OF WOMEN...","Hellmuth Costard","Costard, Hellmuth"
"Tote 23-12","Thu Oct 25 00:00:00 PDT 1979","Analog tape","MediaPreserve",,,,,"PFA","unknown",,331,,"A SIMPLE EVENT|FAR FROM HOME","Sohrab Shahid Saless","Saless, Sohrab Shahid"
"Tote 23-12","Fri Nov 09 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,332,,"FOOTBALL (SOCCER)","Hellmuth Costard","Costard, Hellmuth"
"Tote 23-12","Fri Nov 09 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,333,,"DISAPPEARED","Sergio Castilla","Castilla, Sergio"
"Tote 23-12","Sat Nov 10 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA","unknown",,334,,"THE BLIND SWORDSMAN","John Nathan","Nathan, John"
"Tote 23-12","Mon Nov 12 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA","unknown",,335,,"IRACEMA","Eckart Stein","Stein, Eckart"
"Tote 23-12","Tue Nov 13 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,336,,"THE LITTLE GODARD","Hellmuth Costard|Eckart Stein","Costard, Hellmuth|Stein, Eckart"
"Tote 23-12","Mon Nov 12 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,337,,"POTO AND CABENGA","Jean-Pierre Gorin","Gorin, Jean-Pierre"
"Tote 23-12","Thu Nov 15 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA","unknown",,338,,"THE MIDDLE OF THE ROAD IS A VERY DEAD END|THE COMMANCHE","Eckart Stein","Stein, Eckart"
"Tote 23-12","Sun Nov 18 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA","unknown",,340,,"ACT OF MURDER","Florence Eldridge","Eldridge, Florence"
"Tote 23-12","Mon Nov 26 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA","unknown",,341,,"KINGDOM OF NAPLES","Werner Schroeter","Schroeter, Werner"
"Tote 23-12","Sat Dec 01 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,343,,"THE FOUNDLING|SHADOW RIDER","George Moorse","Moorse, George"
"Tote 23-12","Wed Dec 05 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"Wheeler Auditorium","unknown",,344,,"THE WOBBLIES","Fred Cody","Cody, Fred"
"Tote 23-12","Thu Dec 06 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA",,,345,,"LENZ","George Moorse","Moorse, George"
"Tote 23-12","Fri Dec 07 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA","unknown",,346,,"Z","Vassilis Vassilikos","Vassilikos, Vassilis"
"Tote 23-12","Sat Jan 26 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"PFA",,,348,,"HAPPIEST DAYS OF YOUR LIFE|INSPECTOR CALLS","William K. Everson","Everson, William K."
"Tote 23-12","Sun Jan 27 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"PFA",,,349,,"REGENERATION|THE YELLOW TICKET|ROAD TO GLORY|PLOUGH AND STARS|THE GROWLER STORY","William K. Everson","Everson, William K."
"Tote 23-12","Tue Jan 29 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"PFA",,,350,"A","SHIP OF LOST MEN|YOUNG GIRLS IN DISTRESS","William K. Everson","Everson, William K."
"Tote 181-11","Thu Jan 31 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"PFA",,,352,,"SONG OF THE STREET|MOVIES OUT OF THIN AIR","William K. Everson","Everson, William K."
"Tote 181-11","Fri Feb 01 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"PFA",,,353,,"ONE MORE SPRING|HOOPLA|TURNED OUT NICE AGAIN|KING OF Z|PASSIONATE FRIENDS|WRONG WAY OUT","William K. Everson","Everson, William K."
"Tote 181-11","Tue Feb 05 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"PFA","unknown",,354,,"STORY OF ANNA O","Terrel Seltzer","Seltzer, Terrel"
"Tote 181-11","Mon Feb 04 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"PFA",,,355,,"STONY ISLAND","Andrew Davis","Davis, Andrew"
"Tote 181-11","Mon Feb 11 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"PFA",,,357,,"SPIRIT OF THE WIND","Ralph Liddle","Liddle, Ralph"
"Tote 181-11","Tue Feb 12 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"PFA",,,358,,"FULL MOON LUNCH|FARM SONG","John Nathan","Nathan, John"
"Tote 181-11","Fri Nov 16 00:00:00 PST 1979","Analog tape","MediaPreserve",,,,,"PFA","unknown",,360,,"DER BOMBERPILOT|MARIA MALIBRAN","Werner Schroeter","Schroeter, Werner"
"Tote 181-11","Sat Apr 05 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"PFA","unknown",,361,,"PEEPING TOM|SMALL BACK ROOM|THE RED SHOES|Thief of Bagdad","Michael Powell","Powell, Michael"
"Tote 181-11","Wed Apr 09 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"Wheeler Auditorium","unknown",,362,,"MAN OF MARBLE","Herbert Feinstein","Feinstein, Herbert"
"Tote 181-11","Thu Apr 03 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"PFA","Online plus in-house - Full access given",,364,,"LIAR'S DICE","Issam Makdissy|Terry Eubanks Makdissy","Makdissy, Issam|Makdissy, Terry Eubanks"
"Tote 181-11","Tue Apr 01 00:00:00 PST 1980","Analog tape","MediaPreserve",,,"PROMISE THEM ANYTHING: Political Spots 1933-80",,"PFA",,,365,,,"James Hall","Hall, James"
"Tote 181-11","Tue Mar 11 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"PFA",,,366,,"EXPOSURE|A Child’s Voice","Kieran Hickey","Hickey, Kieran"
"Tote 181-11","Tue Mar 11 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"PFA",,,367,,"JUMP STREET","David Davis|Christine Burrill","Davis, David|Burrill, Christine"
"Tote 181-11","Thu Mar 06 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"PFA",,,368,,"THE SPIRIT OF FRANCO|RACE|THE PERALBES MURDERER","Gonzalo Herralde","Herralde, Gonzalo"
"Tote 181-11","Mon Apr 07 00:00:00 PST 1980","Analog tape","MediaPreserve","With Shorts",,,,"PFA",,,369,,"LE ROUGE DE CHINE","Jacques Richard","Richard, Jacques"
"Tote 181-11","Tue Apr 08 00:00:00 PST 1980","Analog tape","MediaPreserve",,,"Student Films from M.I.T.",,"PFA",,,370,,,"Carolyn Swartz|Ann Schaetzel","Swartz, Carolyn|Schaetzel, Ann"
"Tote 181-11","Fri Apr 11 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"PFA",,,371,,"JOURNEYS FROM BERLIN / 1971","Yvonne Rainer","Rainer, Yvonne"
"Tote 181-11","Thu Apr 17 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"PFA",,,373,,"THAMPU KUMM ATTY","Govindan Aravindan","Aravindan, Govindan"
"Tote 181-11","Mon Apr 21 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"PFA",,,374,,"TESTIMONIALS FOR KLARA HEYDEBRECK|UNDER LANDMARK PROTECTION","Eberhard Fechner","Fechner, Eberhard"
"Tote 181-11","Thu Apr 24 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"PFA",,,375,,"TADELLOESER & WOLFF (RIGHT OR WRONG: MY COUNTRY)","Eberhard Fechner","Fechner, Eberhard"
"Tote 181-11","Fri Apr 25 00:00:00 PST 1980","Analog tape","MediaPreserve",,,,,"PFA",,,376,,"UNDER THE MEN’S TREE|THE WEDDING CAMELS","David MacDougall|Judith MacDougall","MacDougall, David|MacDougall, Judith"
