genreForm,accessionNumber,itemNumber,title,titlew1974,country,year,generation,dimensions,videoFormat,summary,duration,DigitizationNotes,note1,url,subj1,subj2,subj3
Unedited footage,0550-01-16147,16147,Four more years [raw footage: tape 025],,United States,,,1/2 in.,EIAJ,[Contents:] First tape of Illinois gala event [at Playboy Club] ; Saturday 8/19/72. Playboy Club party for Illinois delegates. Generally roving glimpses of attendees (e.g. Jimmy Stewart briefly appears at 00:32:10).,33:11,"Tape is moldy.  ; Digitization Vendor Comments: Aligned Playback Level to program; Aligned Audio Level to Program; Unstable Control Track; Flagging Visible in Picture;Channel1 Mono; Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture, as was recorded on tape. ; Digitization QC Note: Head switching, mild flagging. Dirt in frame. Dropouts. Notably few tracking errors until very end. --AES 2019-10-15","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-025_16147,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
Unedited footage,0550-01-16148,16148,Four more years [raw footage: tape 026],,United States,,,1/2 in.,EIAJ,"[Contents:] [Playboy Club events: Illinois] gala event tape 2 -- Celebrity speeches: Ford, Scott, Percy Dole, Nixon (brother), [Richard] Kleindeinst, etc. -- Interview with W. Clement Stone ; Saturday 8/19/72. Playboy Club party for Illinois delegates. TVTV shot logs note: Jimmy Stewart signs autographs; Chad Everett, Bob Dole, Clark McGregor, Hugh Scott, Big Ed Nixon, Richard Kleindienst speak; Anda interviews millionaire W. Clement Stone (begins 00:22:15).",34:48,"Tape is moldy.  ; Digitization Vendor Comments: Aligned Playback Level to program; Aligned Audio Level to Program; Unstable Control Track; Flagging Visible in Picture;Channel1 Mono; Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture, as was recorded on tape. ; Digitization QC Note: Head switching, mild flagging. Dirt in frame. Dropouts. Notably few tracking errors until very end. --AES 2019-10-15","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-026_16148,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
Unedited footage,0550-01-16149,16149,Four more years [raw footage: tape 027],,United States,,,1/2 in.,EIAJ,"[Contents:] Young Republican dancers / crazy interactions w/ photographers, etc. -- Lady w/ rap on Vietcong flag -- Carl Reuve [?] -- Reporter from Hearst ; Saturday 8/19/72. Playboy Club party for Illinois delegates. Interviews with Playboy bunnies 00:00:40; interviews with partygoers through rest of tape.",28:48,"Tape is moldy.  ; Digitization Vendor Comments: Aligned Playback Level to program; Aligned Audio Level to Program; Unstable Control Track; Flagging Visible in Picture;Channel1 Mono; Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture, as was recorded on tape. ; Digitization QC Note: Tracking errors in bottom at head switching location. Horizontal (wide but translucent) black bars from bright light source, e.g. interview at 00:08:27. Rewind/fast-forward at 00:01:40. Head switching, mild flagging. Dirt in frame. Dropouts.  --AES 2019-10-15","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-027_16149,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
Unedited footage,0550-01-16150,16150,Four more years [raw footage: tape 028],,United States,,,1/2 in.,EIAJ,"[Contents:] (Fontainbleu events) Press conference in rules -- Iowa governor Robert Ray -- Howard Gillette interview -- Young republicans ; Sunday 8/20/72. Press conference at Fontainebleau; Iowa Governor Robert Ray discussing rule change regarding allocation of delegates. 00:12:40 Howard Gillette, Ripon Society President, explains the rules fight. 00:19:20 Nixon supporters outside the Fontainebleau; crowd shots, interviews.",32:56,"Tape is moldy.  ; Digitization Vendor Comments: Aligned Playback Level to program; Aligned Audio Level to Program; Unstable Control Track; Flagging Visible in Picture;Channel1 Mono; Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture, as was recorded on tape. Lower reel flange is broken ; Digitization QC Note: Tracking errors at head, severe jitter in flagging area, heavy dropouts. Consistent tracking errors throughout tape, becoming worse from 00:21:30 to end. --AES 2019-10-15","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-028_16150,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
Unedited footage,0550-01-16151,16151,Four more years [raw footage: tape 029],,United States,,,1/2 in.,EIAJ,"[Contents:] Religious services ; Sunday 8/20/72. Footage of crowd before, during, and after church service. Stationary camera in most of last half of tape doesn't match audio. 00:30:10 astronaut Frank Borman chats with crowd and signs autographs.",33:01,"Tape is moldy.  ; Digitization Vendor Comments: Aligned Playback Level to program; Unstable Control Track; Aligned Audio Level to Program; Flagging Visible in Picture;Channel1 Mono; Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture, as was recorded on tape. ; Digitization QC Note: Head switching, mild flagging and jitter. Small white spot in frame. Dropouts. Notably few tracking errors until very end. --AES 2019-10-15","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-029_16151,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
Unedited footage,0550-01-16152,16152,Four more years [raw footage: tape 030],,United States,,,1/2 in.,EIAJ,"[Contents:] Religious services ; Sunday 8/20/72. Inside church service, footage of speakers. Astronaut Frank Borman reads from Genesis 00:10:15.",32:55,"Tape is moldy.  ; Digitization Vendor Comments: Aligned Playback Level to program; Aligned Audio Level to Program; Unstable Control Track; Flagging Visible in Picture;Channel1 Mono; Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture, as was recorded on tape. ; Digitization QC Note: Dropouts at head. Mild head switching, flagging and jitter. Dirt in frame. Dropouts. A few tracking errors (e.g. 00:09:31) but not many until very end. --AES 2019-10-15","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-030_16152,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
Unedited footage,0550-01-16153,16153,Four more years [raw footage: tape 031],,United States,,,1/2 in.,EIAJ,"[Contents:] Secret Service -- Party for volunteers -- Setting up / Republican bigwigs -- Beauty queen -- Singers ; Sunday 8/20/72. Fontainebleau Volunteers for Nixon party setup. Singers singing ""Nixon Now"" campaign jingles; interviews with Young Republicans, Jesus people, Nixonettes; party setup directed by an unidentified woman. See also 16154.",34:53,"Tape is moldy.  ; Digitization Vendor Comments: Aligned Playback Level to program; Unstable Control Track; Aligned Audio Level to Program; Flagging Visible in Picture;Channel1 Mono; Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture, as was recorded on tape. ; Digitization QC Note: Chrominance noise - why? Carrier leak (?) - looks textured - seems like some sort of interference. Mild head switching, flagging. Jitter gets worse as tape goes on. Few tracking errors. --AES 2019-10-15","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-031_16153,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
Unedited footage,0550-01-16154,16154,Four more years [raw footage: tape 032],,United States,,,1/2 in.,EIAJ,"[Contents:] Young voters party -- Waiting for Pat, Julie, and Trish [Nixon] -- Beauty queen / sorority house mother -- The First Family ; Sunday 8/20/72. Fontainebleau Volunteers for Nixon party (same as 16153, but during the event rather than before). Pat Nixon onscreen starting 00:12:45; delivers speech, signs autographs.",34:55,"Tape is moldy.  ; Digitization Vendor Comments: Aligned Playback Level to program; Unstable Control Track; Aligned Audio Level to Program; Flagging Visible in Picture;Channel1 Mono; Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture, as was recorded on tape. ; Digitization QC Note: Tracking errors, but not excessive. Mild head switching, flagging, dropouts. --AES 2019-10-15","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-032_16154,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
Unedited footage,0550-01-16155,16155,Four more years [raw footage: tape 033],,United States,,,1/2 in.,EIAJ,"[Contents:] Tricia, Julie, Eddie [Nixon], and others at WP reception ; Sunday 8/20/72. Julie and Tricia Nixon onscreen starting 00:00:30; Tricia interview 00:02:10, Julie interview 00:05:45, Edward Cox (Tricia's husband) interview 00:11:05. Pepsi girls.",25:58,"Tape is moldy.  ; Digitization Vendor Comments: Aligned Playback Level to program; Aligned Audio Level to Program;Channel1 Mono; Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture, as was recorded on tape. ; Digitization QC Note: Head switching, mild flagging and jitter. Dropouts. Notably few tracking errors until very end. --AES 2019-10-15","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-033_16155,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
Unedited footage,0550-01-16157,16157,Four more years [raw footage: tape 036],,United States,,,1/2 in.,EIAJ,"[Contents:] Senior citizen reception -- Music / dancing -- Julie Nixon -- Ed Nixon speaks -- Group sing ""God Bless America"" ; Sunday 8/20/72. Senior Citizens Reception at the Eden Roc. Julie Nixon speech 00:07:00.",31:15,"Tape is moldy.  ; Digitization Vendor Comments: Aligned Playback Level to program; Aligned Audio Level to Program; Unstable Control Track; Flagging Visible in Picture;Channel1 Mono; starting at the shot/record change at 25:54 through the end of tape there is a record/head speed issue recorded in, possible low battery when shooting. This is not a play back issue. Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture ; Digitization QC Note: Severe control track (low battery) issue at 25:54; noted by MP as recorded in. Tracking errors and dropouts, particularly at stop/start of shot (of which there are many in this tape). Dirt on lens. Head switching, mild flagging and jitter. --AES 2019-10-15","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-036_16157,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
Unedited footage,0550-01-16158,16158,Four more years [raw footage: tape 037],,United States,,,1/2 in.,EIAJ,[Contents:] Reception for Van Rensalaer at the Eden Roc [hotel] ; Sunday 8/20/72. Reception for Van Rensselaer in his hotel room at Eden Roc. Interview starts 00:04:30.,12:14,"Tape is moldy.  ; Digitization Vendor Comments: Aligned Playback Level to program; Aligned Audio Level to Program; Flagging Visible in Picture;Channel1 Mono; Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture, as was recorded on tape. ; Digitization QC Note: Head switching, mild flagging and jitter. Dropouts. Few tracking errors until very end. --AES 2019-10-15","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-037_16158,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
Unedited footage,0550-01-16159,16159,Four more years [raw footage: tape 038],,United States,,,1/2 in.,EIAJ,[Contents:] Great wheelchair speech by hero of demonstration -- Vets talk about media (almost) Nazis and beginning of demonstration ; Vietnam Veterans Against the War in Flamingo Park. Begins with extended interview with veteran Ron Polic.,33:12,"Tape is moldy.  ; Digitization Vendor Comments: Aligned Playback Level to program; Aligned Audio Level to Program; Unstable Control Track; Flagging Visible in Picture;Channel1 Mono; Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture, as was recorded on tape. Tape was upside down on the reel, had to be corrected before capture. ; Digitization QC Note: Chrominance noise - why? Tracking errors at bottom near head switching area. Dropouts. Head switching, mild flagging and jitter. --AES 2019-10-15","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-038_16159_PM0040724_R01of01,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
Unedited footage,0550-01-16160,16160,Four more years [raw footage: tape 039],,United States,,,1/2 in.,EIAJ,[Contents:] Kansas reception for Bob Dole ; Sunday 8/20/72. Kansas delegation reception for Bob Dole at the Holiday Inn; interviews with partygoers.,30:31,"Tape is moldy.  ; Digitization Vendor Comments: Aligned Playback Level to program; Unstable Control Track; Aligned Audio Level to Program; Flagging Visible in Picture;Channel1 Mono; Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture, as was recorded on tape. ; Digitization QC Note: Mild head switching, flagging and jitter. Horizontal (wide but translucent) black bars from bright light sources, e.g. near bottom of frame at 00:18:08. Few dropouts or tracking errors until very end. --AES 2019-10-15","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-039_16160,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
Unedited footage,0550-01-16161,16161,Four more years [raw footage: tape 040],,United States,,,1/2 in.,EIAJ,[Contents:] Talk with John Chancellor at his desk (NBC) ; Monday 8/21/72. NBC anchor booth interview with John Chancellor.,22:13,"Tape is moldy.  ; Digitization Vendor Comments: Aligned Playback Level to program; Aligned Audio Level to Program; Unstable Control Track; Flagging Visible in Picture;Channel1 Mono; Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture, as was recorded on tape. ; Digitization QC Note: Chrominance noise - why? Tracking errors (at bottom above head switching area), dropouts, head switching, flagging and jitter at varying levels but generally distracting (especially further through tape). Flickering quality to the image light - recorded in? (may be apparent in 00:16:00 for example) --AES 2019-10-15","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-040_16161,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
Unedited footage,0550-01-16162,16162,Four more years [raw footage: tape 041],,United States,,,1/2 in.,EIAJ,[Contents:] Rules committee -- Boats on pier ; (Monday 8/21/72?) Rules Committee proceedings.,33:07,"Tape is moldy.  ; Digitization Vendor Comments: Aligned Playback Level to program; Aligned Audio Level to Program; Unstable Control Track; Flagging Visible in Picture;Channel1 Mono; Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture, as was recorded on tape. ; Digitization QC Note: Head switching, mild flagging and jitter. Dirt on lens. Few tracking errors or dropouts until very end. --AES 2019-10-15","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-041_16162,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
Unedited footage,0550-01-16163,16163,Four more years [raw footage: tape 042],,United States,,,1/2 in.,EIAJ,[Contents:] March on National Guard -- Shots of windows to space -- Speech by vet hero (wheelchair) -- Railroad [?] with VVAW committee -- Hippy [sic] ritual ; Monday 8/21/72. Vietnam Veterans Against the War demonstration. Interviews with vets and counterprotestors.,33:29,"Tape is moldy.  ; Digitization Vendor Comments: Aligned Playback Level to program; Aligned Audio Level to Program; Unstable Control Track; Flagging Visible in Picture; Head Switching Visible;Channel1 Mono; Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture, as was recorded on tape. ; Digitization QC Note: Mild head switching, flagging and jitter. Dark loops at top center of image. Few tracking errors or dropouts except at beginning and end. Audio not very good after 00:19:20 (wireless microphone). Dark 00:24:00 on (inherent). --AES 2019-10-15","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-042_16163,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
Unedited footage,0550-01-16164,16164,Four more years [raw footage: tape 043],,United States,,,1/2 in.,EIAJ,"[Contents:] Americana: young voters, LVAD (Tricia [Nixon], Julie [Nixon], [Spiro] Agnew) and dancing ; Sunday 8/20/72. Outside the Americana Hotel waiting for Tricia and Julie Nixon appear 00:03:49, Spiro Agnew appears 00:08:27. Agnew speech 00:12:10.",23:17,"Tape is moldy.  ; Digitization Vendor Comments: Aligned Playback Level to program;  Unstable Control Track; Aligned Audio Level to Program; Flagging Visible in Picture;Channel1 Mono; Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture, as was recorded on tape. ; Digitization QC Note: Carrier leak? Looks textured - seems like some sort of interference. Head switching, mild flagging and jitter. Dirt on lens. Dropouts. Periodic tracking errors throughout e.g. at 00:00:55. Brief artifact at 00:20:55 explained on tape audio as low battery. --AES 2019-10-15","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-043_16164,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
Unedited footage,0550-01-16165,16165,Four more years [raw footage: tape 044],,United States,,,1/2 in.,EIAJ,[Contents:] Rules committee -- Set of stuff on Ripon president Howard Gillette (in case of floor fight) --  ; Monday 8/21/72. Rules Committee proceedings.,33:06,"Tape is moldy.  ; Digitization Vendor Comments: Aligned Playback Level to program; Unstable Control Track; Aligned Audio Level to Program; Flagging Visible in Picture;Channel1 Mono; Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture, as was recorded on tape. ; Digitization QC Note: Head switching, mild flagging and jitter. Dirt on lens. Few tracking errors or dropouts until very end. --AES 2019-10-15","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-044_16165,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
Unedited footage,0550-01-16166,16166,Four more years [raw footage: tape 045],,United States,,,1/2 in.,EIAJ,[Contents:] Rules committee -- Cutaways -- Following Ripon Society dudes [at Eden Roc hotel] ; (Monday 8/21/72?) Rules Committee proceedings.,28:19,"Tape is moldy.  ; Digitization Vendor Comments: Aligned Playback Level to program; Aligned Audio Level to Program; Unstable Control Track; Flagging Visible in Picture;Channel1 Mono; Some Levels may be adjusted beyond broadcast standards to obtain a more usable picture, as was recorded on tape. ; Digitization QC Note: Head switching, mild flagging and jitter. Dark loops at top center of image. Few tracking errors or dropouts until very end. --AES 2019-10-15","Recorded by TVTV at the 1972 Republican National Convention in Miami Beach, Florida. These tapes represent outtakes from the 1972 work, ""Four More Years.""",https://archive.org/details/four-more-years-045_16166,"Republican National Convention (30th : 1972 : Miami Beach, Fla.)",,
